DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
24-Nov-2017,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",spearfishing,Right leg bitten,N,"White shark, 4.6 m",Nov,Fishing,white shark
8-Nov-2017,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,Heel bitten,N,,Nov,Surfing,unknown
3-Nov-2017,2017.0,Unprovoked,UNKNOWN,,,surfing,Puncture wounds to feet,N,,Nov,Surfing,unknown
3-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,surfing,Puncture wounds to left shoulder,N,2 m shark,Nov,Surfing,2 m shark
4-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,night bathing,FATAL,Y,Tiger shark,Nov,night bathing,tiger shark
31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,snorkeling,Calf injured,N,Cookiecutter shark,Oct,snorkeling,cookiecutter shark
28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,surfing,Minor injury to foot,N,"Wobbegong shark, 1 m",Oct,Surfing,"wobbegong shark, 1 m"
26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",stand-up paddleboarding,No injury but shark bit SUP,N,,Oct,stand-up paddleboarding,unknown
23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,swimming,Minor injury to foot,N,,Oct,Swiming,unknown
23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing ,Lacerations to left foot,N,,Oct,Surfing,unknown
23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",swimming,Severe lacerations to left hand & wrist,N,,Oct,Swiming,unknown
22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,kayaking / fishing,Minor injuries,N,"White shark, 4.5 m",Oct,Fishing,white shark
21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",kayaking,"No injury, shark shook kayak x3 ",N,2 m shark,Oct,kayaking,2 m shark
8-Oct-2017,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",swimming,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet",Oct,Swiming,"spinner shark, 4 to 5 feet"
9-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",surfing,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",Oct,Surfing,tiger shark
5-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Kama�ole Beach Park, Maui ",snorkeling,Abrasions,N,8' shark,Oct,snorkeling,8' shark
-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,scuba diving,FATAL,UNKNOWN,Death may have been due to drowning,Oct,Diving,death may have been due to drowning
25-Sep-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,Lacerations to lower left leg and foot,N,5' shark,Sep,Surfing,5' shark
