DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
9-Jan-1958,1958.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scotburgh,swimming,FATAL,Y,White shark,Jan,Swiming,white shark
958-1959,1958.0,Provoked,TONGA,Vava'u,Hunga Island,spearfishing,Calf avulsed by shark he was holding by the tail PROVOKED INCIDENT,N,<1 m shark,958-1959,Fishing,<1 m shark
958,1958.0,Provoked,SAMOA,South Pacific Ocean,North of Northeast Samoa,placed hand in disemboweled shark�s jaws,Hand lacerated PROVOKED INCIDENT,N,,958,placed hand in disemboweled shark�s jaws,unknown
958,1958.0,Provoked,PANAMA,Canal Zone,,skindiving,"Boy seized shark by its tail, shark bit boy�s forearm  PROVOKED INCIDENT",N,"18"" to 24"" shark",958,Diving,"18"" to 24"" shark"
958,1958.0,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",,FATAL,Y,,958,Fishing,unknown
958,1958.0,Unprovoked,PAPUA NEW GUINEA,West New Britain Province,"Bulu, Talasea",spearfishing,"FATAL, back & buttocks bitten ",Y,,958,Fishing,unknown
958,1958.0,Unprovoked,PAPUA NEW GUINEA,West New Britain Province,"Kombe, Talasea",spearfishing,"FATAL, severe abdominal injuries ",Y,Several sharks involved,958,Fishing,several sharks involved
958,1958.0,Unprovoked,PAPUA NEW GUINEA,Morobe Province,"Korem, Finschhafen ","fishing, holding fish",Hand holding the fish was bitten in all 3 cases,N,,958,Fishing,unknown
958,1958.0,Boating,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,fishing (trolling),No injury to occupants; shark bit propeller,N,White shark,958,Fishing,white shark
Circa 1958,1958.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,MaKakatana River,"fishing, walking in river to cast","FATAL, right leg severed above knee  ",Y,,Circa 1958,Fishing,unknown
31-Dec-1957,1957.0,Unprovoked,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",spearfishing,No injury. Shark grabbed fish attached to his belt & towed him seaward.  ,N,,Dec,Fishing,unknown
30-Dec-1957,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,standing,"Left arm severed, torso bitten, thigh lacerated, many abrasions",N,1.8 m [6'] shark,Dec,standing,1.8 m [6'] shark
26-Dec-1957,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Splash Rock, Port Edward",skindiving,Lacerations on head & neck,N,,Dec,Diving,unknown
23-Dec-1957,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,floating,"FATAL, right arm broken & stripped of flesh, left hand severed above wrist, lower abdomen, buttocks & thigh bitten  ",Y,>3 m [10'] shark,Dec,floating,>3 m [10'] shark
20-Dec-1957,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Uvongo,standing,"FATAL, multiple, severe injuries  ",Y,,Dec,standing,unknown
8-Dec-1957,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,body surfing,"Left leg severed at knee, part of left thigh removed",N,,Dec,Surfing,unknown
8-Nov-1957,1957.0,Sea Disaster,PACIFIC OCEAN,"1,000 miles east of Hawaii",,air/sea disaster pan-american airlines stratocruiser with 44 people onboard crashed into the sea,Navy personnel recovered 19 shark-scavenged bodies,N,,Nov,air/sea disaster pan-american airlines stratocruiser with 44 people onboard crashed into the sea,unknown
4-Nov-1957,1957.0,Boating,AUSTRALIA,New South Wales,Off Scotts,fishing,"No injury, shark's teeth embedded in boat",N,,Nov,Fishing,unknown
24-Oct-1957,1957.0,Unprovoked,SOLOMON ISLANDS,Honiara,Honiara,,FATAL,Y,,Oct,Fishing,unknown
23-Oct-1957,1957.0,Unprovoked,SOLOMON ISLANDS,Honiara,Honiara,,FATAL,Y,,Oct,Fishing,unknown
2-Sep-1957,1957.0,Unprovoked,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,,Survived,N,Identified as carcharinid shark (based on its behavior) by Dr. D.P. L. Schultz; mako shark according to Huges,Sep,Fishing,identified as carcharinid shark (based on its behavior) by dr. d.p. l. schultz; mako shark according to huges
Aug-1957,1957.0,Provoked,USA,Florida,"Miami Seaquarium, Virginia Key, Miami, Miami-Dade County",attempting to net shark in shark channel,Legs bitten PROVOKED INCIDENT,N,"2.7 m [9'] bull shark, identified by Capt. W. Gray",Aug,attempting to net shark in shark channel,bull shark
24-Jul-1957,1957.0,Provoked,USA,California,"La Jolla, San Diego County",spearfishing on scuba,Diver jabbed shark with spear and it make a threat display. No injury PROVOKED INCIDENT,N,"Said to involve a 1 m  white shark, but thought  that it was more likely a blue shark",Jul,Fishing,white shark
5-Jul-1957,1957.0,Unprovoked,USA,North Carolina,"Salter Path, Atlantic Beach, Carteret County",swimming,"FATAL, knee bitten  ",Y,White shark,Jul,Swiming,white shark
9-Jul-1957,1957.0,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,diving for trochus,Right hand and arm bitten,N,9' shark,Jul,Diving,9' shark
21-Jun-1957,1957.0,Invalid,CUBA,Yucatan Channel,,m.v. tropical sank. sole survivor rode oil drums for 8 days without food or water.,"No injury, no attack, sharks in vicinity when the sea was calm",UNKNOWN,Invalid,Jun,m.v. tropical sank. sole survivor rode oil drums for 8 days without food or water.,invalid
-May-1957,1957.0,Unprovoked,AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",competing in spearfishing championship & towing dead fish,Thigh bitten & few lacerations on abdomen & buttock,N,4.6 m [15'] shark,May,Fishing,4.6 m [15'] shark
7-May-1957,1957.0,Unprovoked,SOLOMON ISLANDS,,,fishing,Legs nipped & he bit shark's snout,N,,May,Fishing,unknown
May 1957,1957.0,Unprovoked,USA,Florida,"8 miles off St. Marks, Wakulla County",3 men & 2 boys picked up wearing life jackets and with inner tube,Leg lacerated,N,,May,3 men & 2 boys picked up wearing life jackets and with inner tube,unknown
28-Apr-1957,1957.0,Unprovoked,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County",swimming,"FATAL, seen with arm in mouth of shark. Body not recovered.  ",Y,White shark,Apr,Swiming,white shark
23-Apr-1957,1957.0,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",surfing,Minor injuries,N,Wobbegong shark?,Apr,Surfing,wobbegong shark?
22-Apr-1957,1957.0,Provoked,USA,Florida,"Ormond Beach, Volusia County",standing,Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,N,4 m [13'] shark,Apr,standing,4 m [13'] shark
3-Apr-1957,1957.0,Unprovoked,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",swimming between  anchored  pearling luggers,"Left arm bitten, surgically amputated",N,Shark seen feeding on turtle scraps thrown overboard prior to incident.,Apr,Swiming,shark seen feeding on turtle scraps thrown overboard prior to incident.
7-Apr-1957,1957.0,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,diving from canoe,Injured while Sonieva was transferred to another canoe,N,,Apr,Diving,unknown
7-Apr-1957,1957.0,Unprovoked,SOLOMON ISLANDS,Bougainville (North Solomons),Kieta,diving from canoe,Leg severed,N,,Apr,Diving,unknown
24-Feb-1957,1957.0,Unprovoked,FIJI,Viti Levu,Suva Harbor,spearfishing,Right arm & forearm injured,N,,Feb,Fishing,unknown
5-Feb-1957,1957.0,Unprovoked,USA,Florida,"South Beach, Fort Pierce, St Lucie County",floating,Foot bitten,N,1.2 m  [4'] shark,Feb,floating,1.2 m  [4'] shark
2-Feb-1957,1957.0,Unprovoked,AUSTRALIA,Western Australia,Cape Lev�que,,Man landed at Cape Lev�que lighthouse in critical condition after being bitten by a shark. Not known if he survived.,UNKNOWN,,Feb,Fishing,unknown
Feb-1957,1957.0,Unprovoked,USA,Florida,Florida Keys,skindiving for specimens,Minor injuries,N,Said to involve a large mako shark,Feb,Diving,said to involve a large mako shark
5-Jan-1957,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umgeni River Mouth,wading,FATAL,Y,,Jan,wading,unknown
957,1957.0,Invalid,SRI LANKA,Western Province,Colombo Harbor,fishing,"FATAL, but shark involvement not confirmed",UNKNOWN,Shark involvement prior to death was not confirmed,957,Fishing,shark involvement prior to death was not confirmed
957,1957.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",bathing,Injured by shark,N,1.5 m [5'] shark,957,bathing,1.5 m [5'] shark
957,1957.0,Invalid,CUBA,Havana Province,Cojimar,,"FATAL, but was it an accident or infanticide?",UNKNOWN,3.7 m [12'] shark,957,Fishing,3.7 m [12'] shark
957,1957.0,Boating,CUBA,Havana Province,Cojimar,fishing,"No injury to occupant, shark stuck boat",N,3.7 m [12'] shark ,957,Fishing,3.7 m [12'] shark 
957,1957.0,Unprovoked,CUBA,Havana Province,Havana,fishing for sharks,"FATAL, became entangled in fishing line and pulled below the surface ",Y,,957,Fishing,unknown
957,1957.0,Unprovoked,USA,Florida,"Miami, Miami-Dade County",helmet diving in miami seaquarium,"Shark struck helmet, no injury",N,Bull shark,957,Diving,bull shark
957,1957.0,Unprovoked,FIJI,Kadavu,Great Astrolabe Reef,fishing,Right foot lacerated,N,,957,Fishing,unknown
957,1957.0,Unprovoked,IRAN,Karun River,"near Band Misan in Shustar, 420 km from the sea",,Survived,N,Bull shark,957,Fishing,bull shark
957,1957.0,Unprovoked,PAPUA NEW GUINEA,"Abau Subdistrict,Central Province",Mailu area  ,fishing,"FATAL, multiple injuries ",Y,,957,Fishing,unknown
957,1957.0,Unprovoked,IRAN,Karun River,Hesamabad,,Survived,N,Bull shark,957,Fishing,bull shark
957,1957.0,Unprovoked,PAPUA NEW GUINEA,"New Britain, Bismarck Archipelago",Duke of York Island,dynamiting fish,FATAL,Y,,957,Fishing,unknown
26-Dec-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),spearfishing,"FATAL, left leg severed at hip, left torso removed ",Y,2.4 m [8'] tiger shark caught 40 hours later with shorts of the boy in its gut,Dec,Fishing,tiger shark
24-Dec-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,spearfishing,"FATAL, left arm, shoulder & chest bitten ",Y,,Dec,Fishing,unknown
5-Dec-195,1956.0,Unprovoked,GABON,Estuaire Province,Owendo,swimming,FATAL,Y,,Dec,Swiming,unknown
9-Dec-195,1956.0,Provoked,NEW ZEALAND,North Island,North Auckland,fishing,Bitten in cockpit of boat by shark caught 30 minutes earlier PROVOKED INCIDENT,N,"Mako shark, 125-lb ",Dec,Fishing,"mako shark, 125-lb "
27-Oct-195,1956.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",free diving for sinkers,Right heel lacerated & swim fin removed by shark,N,"White shark, according to witnesses",Oct,Diving,white shark
20-Oct-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Kapakapa ,"spearfishing, holding 5' speared fish","Left forearm & hand bitten, surgically amputated ",N,3.7 m [12'] shark,Oct,Fishing,3.7 m [12'] shark
7-Oct-195,1956.0,Unprovoked,SENEGAL,"Near Dakar, Cap Vert Peninsula",Isle de Gor�e,"skindiving, fish at belt",Right thigh bitten,N,Lemon shark,Oct,Fishing,lemon shark
Oct-195,1956.0,Unprovoked,PAPUA NEW GUINEA,,Port Moresby,fishing,FATAL,Y,,Oct,Fishing,unknown
23-Sep-195,1956.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surf fishing,Posterior left ankle bitten,N,a sand shark,Sep,Fishing,a sand shark
3-Sep-195,1956.0,Unprovoked,UNKNOWN,Near the Andaman & Nicobar Islands,,climbing back on ship,FATAL,Y,Blue shark,Sep,climbing back on ship,blue shark
Sep-195,1956.0,Unprovoked,MAYOTTE,Mozambique Channel,,fishing,FATAL,Y,Tiger shark,Sep,Fishing,tiger shark
Sep-195,1956.0,Unprovoked,ITALY,Tyrrenian Sea,1.5 miles south of  San Felice Circeo ,scuba diving,Survived,N,"White shark, 13'10"", 1320-lb female ",Sep,Diving,white shark
25-Aug-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby",fishing ,"FATAL, tissue removed from abdomen & thigh  ",Y,4.3 m [14'] shark,Aug,Fishing,4.3 m [14'] shark
20-Aug-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Paga Point, Port Moresby ",fishing,"Leg bitten, but survived",N,,Aug,Fishing,unknown
5-Aug-195,1956.0,Unprovoked,USA,Puerto Rico,North coast,skin diving,FATAL,Y,,Aug,Diving,unknown
5-Aug-195,1956.0,Provoked,AUSTRALIA,Queensland,Near Southport,diving,Laceration to arm when his dive buddy grabbed the shark PROVOKED INCIDENT,N,"Wobbegong shark, 4' ",Aug,Diving,"wobbegong shark, 4' "
5-Aug-195,1956.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",swimming near pier,"Lacerated thigh, hand & shoulder",N,"White shark, 2.7 m [9'] ",Aug,Swiming,white shark
-Aug-195,1956.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Chain Rocks, Amanzimtoti",free diving for crayfish,"No injury, right swim fin bitten",N,,Aug,Fishing,unknown
Aug-195,1956.0,Provoked,UNITED KINGDOM,Cornwall,The Lizard,attempting to kill a shark with explosives,"FATAL, PROVOKED INCIDENT",Y,,Aug,attempting to kill a shark with explosives,unknown
Aug-195,1956.0,Provoked,UNITED KINGDOM,Cornwall,The Lizard,attempting to kill a shark with explosives,"FATAL, PROVOKED INCIDENT",Y,,Aug,attempting to kill a shark with explosives,unknown
Aug-195,1956.0,Boating,MALTA,Congreve Channel,between Filfla Island and Wied iz-Zurrieq,fishing,"No injury to occupants, but Emmanuel ""later died of shock in hospital""",N,Porbeagle or white shark,Aug,Fishing,white shark
Aug-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Yule Island,fishing,"Leg severed, but survived",N,,Aug,Fishing,unknown
Aug-195,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Fisherman's Island, near Port Moresby",fishing,Leg & foot lacerated,N,2.3 m [7'] shark,Aug,Fishing,2.3 m [7'] shark
28-Jul-195,1956.0,Provoked,USA,Puerto Rico,Aquadilla,floating in inner tube,FATAL. His brother speared a shark which then attacked Jose & severed his leg at knee. PROVOKED INCIDENT  ,Y,,Jul,floating in inner tube,unknown
26-Jul-195,1956.0,Provoked,USA,California,"Van Ness Municipal Pier, San Francisco",fishing,Finger bitten by hooked shark PROVOKED INCIDENT,N,8-lb shark,Jul,Fishing,8-lb shark
20-Jul-195,1956.0,Unprovoked,MALTA,St. Thomas Bay,Marsascala,swimming,FATAL,Y,White shark,Jul,Swiming,white shark
7-Jul-195,1956.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",wading,Lacerations to legs,N,,Jul,wading,unknown
2-Jul-195,1956.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,Arm & leg injured,N,,Jul,Swiming,unknown
28-Jun-195,1956.0,Unprovoked,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ","line fishing from lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air","6"" gashes in foot & leg ",N,2.3 m [7'] shark,Jun,Fishing,2.3 m [7'] shark
22-Jun-195,1956.0,Boating,PORTUGAL,Madeira,Off Funchal,longling fishing,"FATAL. Shark sank fishing boat, causing death by drowning",Y,,Jun,Fishing,unknown
20-Jun-195,1956.0,Sea Disaster,MID ATLANTIC OCEAN,,Venezuelan aircraft lost,air/sea disaster,FATAL x 6,Y,,Jun,air/sea disaster,unknown
26-May-195,1956.0,Boating,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,fishing,"No injury, sharks bit propellers, etc",N,White shark,May,Fishing,white shark
7-May-195,1956.0,Unprovoked,CUBA,,,"free diving, working on u/w scenes for motion picture",FATAL,Y,,May,Diving,unknown
May 195,1956.0,Unprovoked,AUSTRALIA,Torres Strait,,diving,"""Badly bitten by shark""",N,,May,Diving,unknown
25-Mar-195,1956.0,Boating,ITALY,Ligurian Sea,"Genova, S. Nazaro, Punta Vagno",boating,No details,UNKNOWN,Said to involve a 7 m [23'] white shark,Mar,boating,white shark
-Mar-195,1956.0,Unprovoked,AUSTRALIA,New South Wales,"Cronulla, near Sydney",bathing,"Right thigh gashed, swim fin torn",N,,Mar,bathing,unknown
4-Mar-195,1956.0,Unprovoked,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay","swimming, attacked at  surf carnival",FATAL,Y,3.7 m [12'] shark & may have been another shark nearby,Mar,Swiming,3.7 m [12'] shark & may have been another shark nearby
Mar-195,1956.0,Unprovoked,AUSTRALIA,Western Australia,Fremantle,attempting to set underwater endurance record,"No injury to diver, but shark bit hole in his wetsuit",N,,Mar,attempting to set underwater endurance record,unknown
26-Feb-195,1956.0,Unprovoked,AUSTRALIA,Queensland,Pioneer River near Mackay,diving into water,"FATAL, large amount of tissue removed from leg, artery severed  ",Y,1.8 m [6'] shark,Feb,Diving,1.8 m [6'] shark
-Feb-195,1956.0,Unprovoked,AUSTRALIA,Victoria,Cowes,swimming,Punctures to calves,N,,Feb,Swiming,unknown
-Jan-195,1956.0,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,diving for trochus,Lacerations to thighs,N,,Jan,Diving,unknown
-Jan-195,1956.0,Unprovoked,COSTA RICA,,San Juan River,swimming,"FATAL, leg severed ",Y,,Jan,Swiming,unknown
5-Jan-195,1956.0,Unprovoked,AUSTRALIA,New South Wales,North Bondi,surf skiing,"No injury, shark bumped his 17' ski",N,5' to 6' shark,Jan,Surfing,5' to 6' shark
95,1956.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Singour, 60 miles south of Madang",diving,Lower leg & foot lacerated,N,,95,Diving,unknown
95,1956.0,Sea Disaster,UNKNOWN,Between Comores & Madagascar,Geyser Bank,shipwreck,FATAL,Y,,95,shipwreck,unknown
95,1956.0,Unprovoked,GREECE,Corfu Island,K�rkira,swimming off yacht,FATAL,Y,White shark,95,Swiming,white shark
95,1956.0,Provoked,USA,Virginia,"Virginia Beach, Princess Anne County",removing shark from net ,Punctures on shin & calf PROVOKED INCIDENT,N,40-lb sand shark,95,removing shark from net ,40-lb sand shark
95,1956.0,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",swimming,No details,UNKNOWN,,95,Swiming,unknown
95,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,"Kimuta, Renard Island",,"Non-fatal, treated at Misima Hospital",N,,95,Fishing,unknown
95,1956.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Hus Island ,,Right calf bitten,N,,95,Fishing,unknown
95,1956.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Enuk Island ,,"FATAL, head & neck bitten  ",Y,,95,Fishing,unknown
31-Dec-1955,1955.0,Boating,AUSTRALIA,Tasmania,,ocean racing,"No injury to occupants, shark gouged hull",N,,Dec,ocean racing,unknown
-Dec-1955,1955.0,Boating,USA,Florida,� mile offshore & 9 miles north of Fort Pierce,fishing for pompano,"No injury to occupants, shark released from net holed boat",N,,Dec,Fishing,unknown
-Nov-1955,1955.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Kalautu Village, Baibara at the mouth of Oibada River",swimming,Right thigh bitten,N,Wobbegong shark,Nov,Swiming,wobbegong shark
Nov-1955,1955.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Low Island, Manus",spearfishing,Right arm severely bitten,N,,Nov,Fishing,unknown
-Oct-1955,1955.0,Provoked,AUSTRALIA,Queensland,"Tully, North Queensland",spearfishing & lassoed shark,Lassoed shark bit his hand PROVOKED INCIDENT,N,6' shark,Oct,Fishing,6' shark
23-Sep-1955,1955.0,Sea Disaster,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""flying tiger"" transport plane went down with 5 men onboard",FATAL,Y,Survivors said 2 species of sharks were involved:  oceanic whitetip sharks and another species,Sep,"""flying tiger"" transport plane went down with 5 men onboard",white shark
23-Sep-1955,1955.0,Sea Disaster,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""flying tiger"" transport plane went down with 5 men onboard",Bitten several times before being rescued after 43 hours in the sea by the freighter Stell Advocate,N,"Survivors said 2 species of sharks were involved:  oceanic whitetip sharks and another species,",Sep,"""flying tiger"" transport plane went down with 5 men onboard",white shark
20-Sep-1955,1955.0,Unprovoked,USA,Hawaii,East Moloka'i,hunting turtle,Arm bitten,N,,Sep,hunting turtle,unknown
4-Sep-1955,1955.0,Unprovoked,USA,California,"Venice Beach, Los Angeles County",swimming near breakwater,Dorsum of right foot lacerated,N,,Sep,Swiming,unknown
3-Sep-1955,1955.0,Unprovoked,USA,California,"Venice Beach, Los Angeles County",,Minor injury,N,,Sep,Fishing,unknown
30-Aug-1955,1955.0,Unprovoked,JAPAN,Izo Islands,"Mikura-jima Island, 150 miles south of Tokyo",fishing,FATAL,Y,,Aug,Fishing,unknown
30-Aug-1955,1955.0,Provoked,USA,California,"Zuma Beach, Santa Monica, Los Angeles County",surfing,"Surfer grabbed shark, which turned & bit him and 2 lifeguards PROVOKED INCIDENT",N,5' thresher or blue shark. The shark  was killed following the incident,Aug,Surfing,5' thresher or blue shark. the shark  was killed following the incident
26-Aug-1955,1955.0,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Opatija,swimming,FATAL,Y,White shark,Aug,Swiming,white shark
8-Aug-1955,1955.0,Unprovoked,AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,swimming,"FATAL, abdomen bitten  ",Y,Blue shark,Aug,Swiming,blue shark
4-Aug-1955,1955.0,Provoked,USA,South Carolina,Windy Hill Beach,fishing,Finger bitten by hooked shark PROVOKED INCIDENT,N,"""a small shark""",Aug,Fishing,"""a small shark"""
Aug-1955,1955.0,Unprovoked,NORTH ATLANTIC OCEAN ,Open sea,,treading water,No injury,N,,Aug,treading water,unknown
Aug-1955,1955.0,Boating,AUSTRALIA,South Australia,Port Augusta,fishing,Whelan's head was injured when he fell to the deck as shark rammed boat,N,Tooth fragments recovered from hull,Aug,Fishing,tooth fragments recovered from hull
25-Jul-1955,1955.0,Unprovoked,JAPAN,Okayama Prefecture,Usimado-no-Seto,,FATAL,Y,Blue shark,Jul,Fishing,blue shark
23-Jun-1955,1955.0,Unprovoked,USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,wading,Bites on legs & thighs,N,0.7 m [2.5'] sand shark,Jun,wading,0.7 m [2.5'] sand shark
5-Jul-1955,1955.0,Unprovoked,MONTENEGRO,Adriatic Sea,Budva,swimming,FATAL,Y,"White shark, 6.5 m ",Jul,Swiming,white shark
7-Jul-1955,1955.0,Unprovoked,YEMEN,Aden,Telegraph Bay,swimming,"FATAL, back lacerated, arm & leg severed  ",Y,2.4 m [8']  shark,Jul,Swiming,2.4 m [8']  shark
8-May-1955,1955.0,Provoked,USA,California,"Malibu, Los Angeles County",spearfishing,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,2 m [6.75'] shark,May,Fishing,2 m [6.75'] shark
May 1955,1955.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Lou Island, south of Manus Island",spearfishing,"Right forearm severely lacerated, left arm & hand lacerated",N,,May,Fishing,unknown
3-Apr-1955,1955.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hadrian�s (Haidana?) Island, near Port Moresby",spearfishing or fishing,Left shoulder bitten,N,6' shark,Apr,Fishing,6' shark
2-Apr-1955,1955.0,Unprovoked,PAPUA NEW GUINEA,,Abau,spearfishing,No injury. Shark took string of fish then struck canoe,N,6' shark,Apr,Fishing,6' shark
Apr-1955,1955.0,Unprovoked,USA,Hawaii,"Hilo, Hawai'i","fishing from boat, kaimamla",Hand bitten,N,,Apr,Fishing,unknown
9-Mar-1955,1955.0,Unprovoked,AUSTRALIA,New South Wales,Wamberal,body surfing,FATAL,Y,,Mar,Surfing,unknown
Mar-1955,1955.0,Unprovoked,PAPUA NEW GUINEA,"New Ireland, Bismarck Archipelago","Kabiman, West coast",swimming with speared fish,Left leg bitten,N,"""small brown-colored shark""",Mar,Fishing,"""small brown-colored shark"""
Mar-1955,1955.0,Provoked,AUSTRALIA,Western Australia,Woodman�s Point,"competing in u/w endurance record, standing beside drum in 10' of water",Leg of wetsuit torn after spear fired at shark  PROVOKED INCIDENT,N,,Mar,"competing in u/w endurance record, standing beside drum in 10' of water",unknown
-Feb-1955,1955.0,Unprovoked,USA,California,"Trinidad Bay, Humboldt County",scuba diving,"No injury, shark bumped diver's face",N,"Leopard shark, 3' Triakis semifasciata, identified by J.W. DeWitt (1955)",Feb,Diving,"leopard shark, 3' triakis semifasciata, identified by j.w. dewitt (1955)"
-Feb-1955,1955.0,Unprovoked,USA,California,"Pacific Grove, Monterey County",spearfishing,"Swimfin & 2 wool socks removed by shark, suit torn",N,"White shark, 5 m to 6 m [16.5' to 20] ",Feb,Fishing,white shark
5-Feb-1955,1955.0,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",swimming,"FATAL, legs bitten ",Y,3.6 m  white shark  (or bronze whaler),Feb,Swiming,white shark
4-Feb-1955,1955.0,Unprovoked,INDIA,Tamil Nadu,"Vanagiri, Madras (Chennai), Bay of Bengal",fishing,Leg bitten,N,,Feb,Fishing,unknown
-Feb-1955,1955.0,Boating,AUSTRALIA,New South Wales,Parramatta River,rowing,"No injury to occupants; shark grabbed oar, vaulted over scull",N,,Feb,rowing,unknown
Feb-1955,1955.0,Boating,AUSTRALIA,New South Wales,Coff�s Harbor,rowing toward snapper grounds,"No injury to occupants, 6 sharks charged boat",N,4 m [13'] shark x 6,Feb,rowing toward snapper grounds,4 m [13'] shark x 6
7-Jan-1955,1955.0,Unprovoked,AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",hunting lobsters in 2.4 m of water,"FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y,"Bronze whaler shark,3.7 m [12'] ",Jan,hunting lobsters in 2.4 m of water,"bronze whaler shark,3.7 m [12'] "
5-Jan-1955,1955.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,A ford known as Brodies Coffin in St. Lucia Bay,crossing the bay at the ford,"FATAL, leg bitten ",Y,,Jan,crossing the bay at the ford,unknown
955,1955.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,No details,UNKNOWN,,955,Fishing,unknown
955,1955.0,Provoked,CUBA,Havana Province,Cojimar,fishing,Forearm slashed wrist to elbow by hooked shark he was trying to club to death  PROVOKED INCIDENT,N,"""a little shark""",955,Fishing,"""a little shark"""
955,1955.0,Unprovoked,MADAGASCAR,18S / 50E,,standing in knee-deep water,FATAL,Y,,955,standing in knee-deep water,unknown
955,1955.0,Invalid,USA,Illinois,Chicago (Lake Michigan),swimming,Right leg allegedly bitten by a bull shark,UNKNOWN,Questionable incident,955,Swiming,questionable incident
Ca. 1955,1955.0,Unprovoked,COLUMBIA,Isles del Rosario,Southwest of Cartegena,spearfishing,Swim fin & foot bitten,N,1.5 m [5'] shark,Ca. 1955,Fishing,1.5 m [5'] shark
955,1955.0,Unprovoked,PAPUA NEW GUINEA,New Ireland,Lavongai,,Back bitten,N,,955,Fishing,unknown
29-Dec-1954,1954.0,Unprovoked,AMERICAN SAMOA,Tutuila Island,Near tuna cannery in Pago Pago Harbor,dived overboard & was swimming near stern of trawler,FATAL,Y,,Dec,Swiming,unknown
